time,target_deg,gimbal_deg,error_deg,rate_deg_s
0.0,0.0,0.002576766410006426,-0.002576766410006426,0.1288383205003213
0.02,0.5729577951308232,0.005614901488909497,0.5673428936419137,0.15190675394515357
0.04,1.1459155902616465,0.014903855615845653,1.1310117346458008,0.4644477063468078
0.06,1.7188733853924696,0.0327087161189739,1.6861646692734957,0.8902430251564121
0.08,2.291831180523293,0.061362176565049976,2.230469003958243,1.432673022303804
0.1,2.8647889756541165,0.10281929311515124,2.761969682538965,2.0728558275050637
0.12,3.437746770784939,0.15860200403993815,3.279144766745001,2.7891355462393452
0.14,4.010704565915763,0.23086365945228532,3.7798409064634773,3.613082770617359
0.16,4.583662361046587,0.3243964472288532,4.259265913817734,4.676639388828395
0.18,5.156620156177408,0.44461678922101067,4.712003366956398,6.011017099607873
0.2,5.729577951308232,0.5944256855480352,5.135152265760197,7.490444816351226
0.22,6.302535746439056,0.7762935173890281,5.526242229050029,9.093391592049644
0.24,6.875493541569878,0.9920924327189138,5.883401108850965,10.789945766494283
0.26,7.448451336700701,1.2438913480487994,6.204559988651901,12.589945766494282
0.28,8.021409131831527,1.531690263378685,6.489718868452843,14.38994576649428
0.3,8.594366926962348,1.8554891787085708,6.738877748253777,16.18994576649428
0.32,9.167324722093172,2.2152880940384563,6.952036628054716,17.98994576649428
0.34,9.740282517223996,2.611087009368342,7.129195507855654,19.789945766494277
0.36,10.313240312354816,3.0428859246982274,7.270354387656589,21.589945766494278
0.38,10.886198107485642,3.5106848400281128,7.375513267457528,23.38994576649428
0.4,11.459155902616466,4.014483755357998,7.444672147258467,25.189945766494276
0.42,12.032113697747286,4.554282670687884,7.477831027059403,26.989945766494277
0.44,12.605071492878109,5.130081586017769,7.4749899068603405,28.789945766494277
0.46,13.178029288008933,5.741880501347654,7.436148786661279,30.58994576649428
0.48,13.750987083139758,6.38967941667754,7.361307666462219,32.389945766494286
0.5,14.32394487827058,7.073478332007426,7.250466546263156,34.18994576649428
0.52,14.896902673401405,7.79327724733731,7.103625426064093,35.98994576649429
0.54,15.469860468532229,8.549076162667196,6.920784305865031,37.78994576649429
0.56,16.04281826366305,9.340875077997083,6.701943185665969,39.589945766494296
0.58,16.615776058793873,10.16867399332697,6.447102065466903,41.38994576649429
0.6,17.188733853924695,11.032472908656855,6.1562609452678405,43.1899457664943
0.62,17.761691649055525,11.932271823986742,5.829419825068782,44.9899457664943
0.64,18.334649444186343,12.868070739316629,5.466578704869716,46.789945766494306
0.66,18.907607239317166,13.839869654646513,5.067737584670653,48.58994576649431
0.68,19.480565034447988,14.847668569976399,4.63289646447159,50.38994576649431
0.7000000000000001,20.053522829578817,15.891319668076239,4.162203161502579,52.182554904992045
0.72,20.626480624709636,16.9665217632183,3.659958861491336,53.76010475710295
0.74,21.199438419840458,18.068381529898364,3.131056889942095,55.09298833400325
0.76,21.772396214971284,19.190357124305237,2.5820390906660444,56.098779720343735
0.78,22.345354010102103,20.327817498468725,2.0175365116333777,56.873018708174435
0.8,22.918311805232932,21.477927686412997,1.4403841188199322,57.505509397213594
0.8200000000000001,23.491269600363754,22.63773548270482,0.853534117658936,57.990389814591076
0.84,24.064227395494576,23.79743237276676,0.2667950227278154,57.98484450309707
0.86,24.6371851906254,24.95623051757735,-0.3190453269519519,57.939907240529536
0.88,25.210142985756228,26.111492444198348,-0.901349458442119,57.76309633104984
0.9,25.783100780887047,27.260207774705076,-1.4771069938180308,57.435766525336454
0.92,26.35605857601787,28.397807243435924,-2.0417486674180556,56.87997343654248
0.9400000000000001,26.9290163711487,29.52186336532516,-2.5928469941764636,56.202806094461614
0.96,27.501974166279517,30.629670400347017,-3.1276962340675003,55.39035175109294
0.98,28.07493196141034,31.71728762583815,-3.6423556644278072,54.380861274556395
1.0,28.64788975654116,32.780656536055695,-4.132766779514532,53.16844551087718
1.02,29.22084755167198,33.815640724229645,-4.594793172557663,51.749209408697546
1.04,29.79380534680281,34.82062235215679,-5.0268170053539825,50.24908139635735
1.06,30.366763141933625,35.79360540280083,-5.426842260867199,48.649152532201825
1.08,30.93972093706445,36.73058845344487,-5.7908675163804135,46.84915253220183
1.1,31.51267873219528,37.6315715040889,-6.118892771893621,45.04915253220182
1.12,32.085636527326095,38.49655455473294,-6.410918027406839,43.24915253220182
1.1400000000000001,32.65859432245693,39.32553760537697,-6.666943282920044,41.449152532201815
1.16,33.231552117587746,40.11852065602101,-6.886968538433265,39.64915253220182
1.18,33.80450991271857,40.87550370666505,-7.070993793946478,37.84915253220181
1.2,34.37746770784939,41.59648675730908,-7.21901904945969,36.04915253220181
1.22,34.95042550298022,42.281469807953115,-7.331044304972901,34.249152532201805
1.24,35.52338329811104,42.93045285859716,-7.407069560486116,32.44915253220181
1.26,36.09634109324186,43.54343590924119,-7.447094815999329,30.649152532201803
1.28,36.66929888837269,44.12041895988523,-7.451120071512541,28.8491525322018
1.3,37.24225668350351,44.661402010529265,-7.419145327025752,27.049152532201802
1.32,37.81521447863433,45.1663850611733,-7.351170582538967,25.2491525322018
1.34,38.38817227376516,45.63536811181734,-7.247195838052181,23.4491525322018
1.36,38.96113006889598,46.068351162461376,-7.107221093565393,21.649152532201803
1.3800000000000001,39.53408786402681,46.46533421310541,-6.931246349078603,19.849152532201803
1.4000000000000001,40.10704565915763,46.826317263749445,-6.719271604591818,18.049152532201806
1.42,40.680003454288446,47.15130031439349,-6.4712968601050385,16.249152532201805
1.44,41.252961249419265,47.44028336503752,-6.187322115618257,14.449152532201806
1.46,41.8259190445501,47.693266415681556,-5.867347371131461,12.649152532201805
1.48,42.398876839680916,47.910249466325595,-5.511372626644676,10.849152532201806
1.5,42.971834634811735,48.09169397194639,-5.119859337134657,9.072225281039843
1.52,43.54479242994256,48.2426033646616,-4.697810934719041,7.545469635760272
1.54,44.11775022507339,48.36721729452573,-4.249467069452342,6.2306964932063975
1.56,44.69070802020421,48.469129189335355,-3.778421169131145,5.095594740481255
1.58,45.26366581533504,48.551228598559625,-3.2875627832245886,4.104970461213356
1.6,45.836623610465864,48.618273793602924,-2.78165018313706,3.3522597521647506
1.62,46.40958140559669,48.67309240466971,-2.2635109990730164,2.740930553339167
1.6400000000000001,46.98253920072751,48.71934339054839,-1.736804189820881,2.312549293934155
1.6600000000000001,47.555496995858334,48.75952997362658,-1.2040329777682481,2.009329153909523
1.68,48.12845479098915,48.79855020307348,-0.670095412084334,1.9510114723451242
1.7,48.70141258611997,48.84116774523898,-0.13975515911900543,2.1308771082747593
1.72,49.2743703812508,48.89380073789573,0.3805696433550629,2.631649632837675
1.74,49.84732817638162,48.95886932869285,0.8884588476887731,3.2534295398555213
1.76,50.42028597151244,49.03699978684701,1.3832861846654287,3.906522907708461
1.78,50.99324376664327,49.13245695093558,1.8607868157076888,4.772858204428038
1.8,51.56620156177409,49.2530463513772,2.313155210396889,6.029470022081086
1.82,52.13915935690491,49.402748534242164,2.7364108226627497,7.48510914324801
1.84,52.71211715203574,49.58133599041744,3.130781161618295,8.929372808763931
1.86,53.28507494716656,49.7885055522006,3.4965693949659564,10.358478089157904
1.8800000000000001,53.85803274229739,50.02697594732805,3.8310567949693373,11.923519756372418
1.9000000000000001,54.4309905374282,50.29675121099196,4.134239326436246,13.488763183195411
1.92,55.00394833255903,50.598980334182784,4.404967998376244,15.111456159541328
1.94,55.57690612768985,50.936608047237534,4.640298080452321,16.881385652737507
1.96,56.14986392282068,51.31023576029228,4.839628162528402,18.681385652737507
1.98,56.7228217179515,51.71986347334703,5.002958244604469,20.481385652737508
2.0,57.29577951308232,52.16549118640178,5.13028832668054,22.281385652737505
2.02,57.86873730821315,52.64711889945653,5.221618408756616,24.081385652737506
2.04,58.44169510334397,53.16474661251128,5.276948490832691,25.881385652737503
2.06,59.01465289847479,53.71837432556603,5.296278572908764,27.681385652737504
2.08,59.58761069360562,54.308002038620785,5.279608654984836,29.4813856527375
2.1,60.160568488736445,54.93362975167553,5.226938737060912,31.281385652737494
2.12,60.73352628386726,55.59525746473028,5.138268819136987,33.081385652737495
2.14,61.30648407899809,56.29288517778503,5.01359890121306,34.8813856527375
2.16,61.879441874128915,57.02651289083978,4.852928983289131,36.681385652737504
2.18,62.452399669259734,57.796140603894536,4.656259065365202,38.48138565273751
2.2,63.02535746439056,58.60176831694928,4.423589147441277,40.281385652737505
