time,target_yaw_deg,pred_target_yaw_deg,mpc_target_yaw_deg,gimbal_yaw_deg,yaw_error_deg,yaw_rate_deg_s,target_pitch_deg,pred_target_pitch_deg,mpc_target_pitch_deg,gimbal_pitch_deg,pitch_error_deg,pitch_rate_deg_s
0.0,0.0,-1.2742151758778468,-0.12435357655172787,-0.01994631367889715,0.01994631367889715,-0.9973156839448575,14.036243467926479,13.345413130786545,1.3075741924544297,0.20973490046969054,13.826508567456788,10.486745023484527
0.02,0.5729577951308232,-0.4728148457519775,-0.06371439574204472,-0.027016455472446712,0.5999742506032699,-0.3535070896774781,14.122487957640335,14.210115983890972,1.5829017929455174,0.4305138996997949,13.69197405794054,11.03894996150522
0.04,1.1459155902616465,-0.01500940201196464,-0.0129149641355443,-0.024821824925453515,1.1707374151871,0.1097315273496598,14.208645118640613,14.591600226010883,1.6945531209388753,0.6343380872205155,13.574307031420098,10.191209376036031
0.06,1.7188733853924696,0.32124893649085917,0.026675375664680673,-0.016623282017707183,1.7354966674101768,0.40992714538731667,14.294692655427594,14.336873015621299,1.7212046678329236,0.8102493988732135,13.48444325655438,8.795565582634898
0.08,2.291831180523293,0.8798817016242737,0.08829534468442042,0.00016465651863895142,2.291666524004654,0.8393969268173065,14.380608353455873,14.759449712620148,1.80004897099524,0.9710259089962991,13.409582444459573,8.038825506154287
0.1,2.8647889756541165,1.3698643014888805,0.1472218052935931,0.023753581446147313,2.8410353942079687,1.179446246375418,14.466370085404305,14.48414754462426,1.8120691446217059,1.1083378225741758,13.35803226283013,6.865595678893837
0.12,3.437746770784939,2.0263038960597473,0.22401145854747112,0.05593472605671535,3.381812044728224,1.6090572305284017,14.551955817359657,14.409567420925962,1.8326482120722571,1.2272622049274797,13.324693612432176,5.946219117665195
0.14,4.010704565915763,2.662914134390709,0.30273837235893547,0.0956619151979477,3.9150426507178153,1.986359457061617,14.637343614910954,14.29434829292347,1.8465905622459744,1.329637193474977,13.307706421435977,5.118749427374872
0.16,4.583662361046587,3.2940816651337075,0.38217248944415094,0.14185681703991582,4.44180554400667,2.3097450920984057,14.722511649151722,13.971419136860705,1.8353251633677847,1.4140319952223217,13.3084796539294,4.2197400873672315
0.18,5.156620156177408,3.955992095535906,0.4668040399359197,0.1943315615550104,4.962288594622398,2.6237372257547307,14.807438202587361,14.542146081276968,1.9076303668705235,1.4966899005991887,13.310748301988173,4.132895268843348
0.2,5.729577951308232,4.783902311489979,0.5702296600136871,0.25510880539951614,5.474469145908716,3.038862192225287,14.892101674945073,14.410115480715863,1.9189461705224413,1.5681019722080334,13.32399970273704,3.57060358044222
0.22,6.302535746439056,5.421198905723999,0.6578536162697022,0.3203426211542114,5.982193125284845,3.261690787734765,14.976480588883929,14.914371854035455,1.9846580516004608,1.6387686357637026,13.337711953120227,3.5333331777834696
0.24,6.875493541569878,5.605212694525625,0.6988507805855487,0.3818499759424635,6.493643565627416,3.075367739412602,15.06055359560271,14.702650625822464,1.984442632796248,1.698232435740604,13.362321159862107,2.9731899988450627
0.26,7.448451336700701,6.485673335467,0.8042027185038982,0.4505414051285557,6.997909931572145,3.4345714593046104,15.144299480343395,15.206036085295832,2.0466214090906862,1.758269987517651,13.386029492825744,3.0018775888523614
0.28,8.021409131831527,7.546674960938714,0.9378164045596692,0.529815305413569,7.491593826417959,3.9636950142506624,15.227697167788257,15.28259826275291,2.0735817017328175,1.813141302518798,13.41455586526946,2.743565750057335
0.3,8.594366926962348,8.222590139259092,1.0361648137316182,0.6123436669238191,7.982023260038529,4.126418075512508,15.310725727348652,15.029650361552832,2.0614396852232093,1.8573898038313055,13.453335923517347,2.212425065625386
0.32,9.167324722093172,8.473524742159388,1.0895123835051774,0.6903939692428314,8.47693075285034,3.9025151159506093,15.393364378343856,14.9009522583097,2.0557907024617355,1.893734068051428,13.499630310292428,1.8172132110061434
0.34,9.740282517223996,8.45526968331623,1.1082045353732273,0.7591140917161416,8.981168425507853,3.436006123665518,15.475592495068293,15.378469414275239,2.1103936047605276,1.933086378178822,13.54250611688947,1.9676155063696814
0.36,10.313240312354816,9.576072834597074,1.2373740097108936,0.8376974144549469,9.47554289789987,3.9291661369402617,15.557389611745714,15.3274163949911,2.11905667968702,1.9676027987946745,13.58978681295104,1.725821030792634
0.38,10.886198107485642,10.16071732691725,1.3276461578733068,0.9183469287588967,9.967851178726745,4.032475715197492,15.638735427369127,15.761900472619919,2.171123907151231,2.005008756949607,13.63372667041952,1.8702979077466335
0.4,11.459155902616466,10.63805521178228,1.4015069612052047,0.9981035133202968,10.461052389296167,3.9878292280700025,15.719609810425254,15.601267279180382,2.1677715535735915,2.035958490345978,13.683651320079276,1.5474866698185332
0.42,12.032113697747286,11.126797147679868,1.475573347481321,1.0771406540897157,10.954973043657569,3.9518570384709544,15.79999280350262,15.771439566112132,2.190792256450611,2.065701512365694,13.734291291136927,1.4871511009858183
0.44,12.605071492878109,11.621148545856423,1.55027162597772,1.1556728292842067,11.449398663593904,3.926608759724553,15.879864627782387,16.091550548046953,2.231949974014807,2.097337385057187,13.782527242725202,1.5817936345746373
0.46,13.178029288008933,12.166284982424116,1.6290272833779755,1.2344301034132579,11.943599184595675,3.937863706452545,15.959205687411291,15.51431851899129,2.1835846166583095,2.116207559833642,13.84299812757765,0.9435087388227331
0.48,13.750987083139758,12.623910014758312,1.6996483225514278,1.3120716672370683,12.438915415902692,3.882078191190519,16.037996573756157,15.585125614888321,2.1888140082030128,2.1329242518723643,13.905072321883793,0.8358346019361094
0.5,14.32394487827058,13.150717615337888,1.7764565484780168,1.3897656509498195,12.934179227320762,3.8846991856375666,16.116218069539578,15.7713790649976,2.211625926487071,2.150647660780186,13.965570408759392,0.8861704453910914
0.52,14.896902673401405,14.076539034761883,1.8948405071817216,1.4741720606036162,13.422730612797789,4.220320482689832,16.193851152856617,15.461030316407268,2.1856815465842683,2.1613982370326297,14.032452915823987,0.5375288126221784
0.54,15.469860468532229,14.797115754638552,1.9979893543326848,1.561786787174451,13.908073681357777,4.380736328541746,16.270877001072346,15.862647950820596,2.2257926078511963,2.176872248635718,14.094004752436629,0.7737005801544211
0.56,16.04281826366305,15.183481458695724,2.065626340568383,1.6464066111130216,14.396411652550029,4.230991196928528,16.347276994600385,15.884906855250131,2.2355136389674035,2.1914492399170387,14.155827754683347,0.7288495640660082
0.58,16.615776058793873,15.512920044536566,2.1228430794585322,1.726832516031183,14.88894354276269,4.02129524590807,16.423032720562553,15.951011928570665,2.246094202694332,2.2054086607747667,14.217624059787784,0.697971042886417
0.6,17.188733853924695,16.718563419515952,2.2686249004767567,1.8179320844791327,15.370801769445562,4.554978422397489,16.49812597633009,16.271932404673066,2.282694182179974,2.2230214852215235,14.275104491108568,0.8806412223378315
0.62,17.761691649055525,17.83376246171704,2.417134192889011,1.9184568896047351,15.843234759450787,5.02624025628012,16.572538772946817,16.327921830633983,2.2956993707396944,2.2399261590805617,14.332612613866257,0.8452336929519051
0.64,18.334649444186343,18.54477122571167,2.5256696753680132,2.0205062882211866,16.31414315596516,5.1024699308225845,16.646253338434956,16.428641008487578,2.3105096921588957,2.256523969962457,14.389729368472498,0.829890544094777
0.66,18.907607239317166,18.896513673629396,2.5927622470869003,2.1171914969175742,16.790415742399592,4.8342604348193845,16.719252120984272,16.85201590602924,2.3587683005811977,2.2782284061830653,14.44102371480121,1.0852218110304037
0.68,19.480565034447988,19.34197956109351,2.6641970565156763,2.210055443954983,17.270509590493003,4.6431973518704535,16.79151779202552,17.102571752415848,2.3940585605082663,2.302152906258437,14.489364885767081,1.1962250037685924
0.7000000000000001,20.053522829578817,19.85297248275879,2.741985104425109,2.300720018996104,17.752802810582715,4.533228752056047,16.86303324918907,17.045176332289707,2.396502382801582,2.322678237679297,14.540355011509773,1.0262665710430032
0.72,20.626480624709636,20.957529730941342,2.8812688596743548,2.3993958824067962,18.22708474230284,4.933793170534611,16.933781619150007,16.907820017472126,2.3860703636688063,2.338275749861971,14.595505869288035,0.7798756091337116
0.74,21.199438419840458,20.99397274546748,2.918891120637653,2.488510967521198,18.71092745231926,4.455754255720074,17.00374626036074,16.803050737835783,2.376939067905144,2.349932118100449,14.65381414226029,0.5828184119238817
0.76,21.772396214971284,21.467322615731355,2.9885929956422297,2.5747199718292757,19.19767624314201,4.310450215403896,17.07291076567271,17.277535802220637,2.426914118319371,2.367750268287134,14.705160497385577,0.890907509334254
0.78,22.345354010102103,22.22026984925714,3.0903489883927913,2.6636227458947768,19.681731264207325,4.445138703275036,17.141258964848443,17.210146203144706,2.4287529595609723,2.383036130119115,14.758222834729327,0.76429309159906
0.8,22.918311805232932,22.397083570410427,3.1360057322488304,2.7457951083213055,20.172516696911625,4.10861812132642,17.2087749269657,17.272789591376625,2.4381722478028895,2.3974053946237595,14.81136953234194,0.7184632252322264
0.8200000000000001,23.491269600363754,22.905395837668856,3.208463486334315,2.8265982007644723,20.664671399599282,4.0401546221583295,17.275442962715275,17.372050181046212,2.451970646504021,2.4117051467005943,14.863737816014677,0.7149876038417303
0.84,24.064227395494576,23.8118653044782,3.324967323660342,2.9133127600380546,21.15091463545652,4.335727963679131,17.34124762659427,17.224530537700808,2.4405490595319996,2.4219010220947443,14.919346604499529,0.5097937697075073
0.86,24.6371851906254,24.231772574992174,3.3969489897937573,2.9978635109011127,21.639321679724286,4.2275375431529065,17.40617371899671,17.49524372528057,2.4689369140928963,2.4350264285123733,14.971147290484337,0.656270320881442
0.88,25.210142985756228,24.773527409619074,3.47690148074526,3.0818701553662597,22.12827283038997,4.200332223257344,17.47020628820339,17.852705009878143,2.511467867031127,2.452887298948706,15.017318989254685,0.893043521816633
0.9,25.783100780887047,25.484446412034043,3.574608810523704,3.168266004943597,22.61483477594345,4.319792478866875,17.533330632273064,17.82075550501095,2.516007673858698,2.4686420473576005,15.06468858491546,0.7877374204447369
0.92,26.35605857601787,26.014480703811454,3.6563147468770785,3.254106687901874,23.101951888115995,4.292034147913837,17.595532300837018,17.65088891307744,2.5015738350616927,2.4795797945286333,15.115952506308384,0.5468873585516205
0.9400000000000001,26.9290163711487,26.778060450692397,3.7596472071937788,3.342948271445215,23.586068099703482,4.442079177167062,17.656797096799224,17.790868665855378,2.516048997285863,2.4910981157892707,15.165698981009953,0.5759160630318665
0.96,27.501974166279517,27.075295395825478,3.817737810424897,3.4270596139541927,24.074914552325325,4.205567125448875,17.717111077944363,18.278975332438673,2.5703211098083742,2.5094887328494155,15.207622345094949,0.919530853007239
0.98,28.07493196141034,28.082853454288035,3.9436166686866354,3.518060381805505,24.556871579604834,4.550038392565608,17.776460558455938,17.68030026329107,2.51722301378889,2.5164442495291954,15.260016308926744,0.34777583398899814
1.0,28.64788975654116,28.70948917212378,4.0391938580928946,3.6100018304961234,25.037887926045038,4.597072434530928,17.83483211034693,17.688711967910706,2.512930386047374,2.5215986575561753,15.313233452790755,0.25772040134899327
1.02,29.22084755167198,29.144530288124603,4.111803271909232,3.6990508741834227,25.521796677488556,4.452452184364947,17.89221256480537,17.72364232857851,2.516763856538851,2.5265397816570676,15.3656727831483,0.2470562050446223
